Input,Target
autor armando moura,"aut=moura, armando%"
autor nuno portas,"aut=portas, nuno%"
autor michel toussaint,"aut=toussaint, michel%"
autor ernst kirchner,"aut=kirchner, ernst%"
autor rene magritte,"aut=magritte, rene%"
autor marcel paquet,"aut=paquet, marcel%"
autor francisco machado,"aut=machado, francisco%"
autor antoni gaudi,"aut=gaudi, antoni%"
autor maria crippa,"aut=crippa, maria%"
autor j.m.w. turner,"aut=turner, j.m.w.%"
autor michel bockemuhl,"aut=bockemuhl, michel%"
autor fernando botero,"aut=botero, fernando%"
autor mariana hanstein,"aut=hanstein, mariana%"
autor eca queiroz,"aut=queiroz, eca%"
autor frank baum,"aut=baum, frank%"
autor lucia harris,"aut=harris, lucia%"
autor geota,"aut=geota%"
autor augusto simoes,"aut=simoes, augusto%"
autor latino coelho,"aut=coelho, latino%"
autor j. p. martins,"aut=martins, j. p.%"
autor j. m. latino coelho,"aut=coelho, j. m. latino%"
autor jeronimo osorio,"aut=osorio, jeronimo%"
autor garcia resende,"aut=resende, garcia%"
autor paul klee,"aut=klee, paul%"
autor susanna partsch,"aut=partsch, susanna%"
autor georgos seurat,"aut=seurat, georgos%"
autor gustav klimt,"aut=klimt, gustav%"
autor pieter bruegel,"aut=bruegel, pieter%"
autor rosemarie e rainer hagen,"aut=hagen, rosemarie e rainer%"
autor marc chagall,"aut=chagall, marc%"
autor georgia o keeffe,"aut=o keeffe, georgia%"
autor britta benke,"aut=benke, britta%"
autor frida kahlo,"aut=kahlo, frida%"
autor andrea kettenmann,"aut=kettenmann, andrea%"
autor albrecht durer,"aut=durer, albrecht%"
autor john berger,"aut=berger, john%"
autor egon schiele,"aut=schiele, egon%"
autor reinhard steiner,"aut=steiner, reinhard%"
autor peter rubens,"aut=rubens, peter%"
autor alfredo ribeiro dos santos,"aut=santos, alfredo ribeiro dos%"
autor alexandra ribeiro,"aut=ribeiro, alexandra%"
autor gaston leroux,"aut=leroux, gaston%"
autor arthur doyle,"aut=doyle, arthur%"
autor a. andrade,"aut=andrade, a.%"
autor augusto dias,"aut=dias, augusto%"
autor oliver twist,"aut=twist, oliver%"
autor julio gago,"aut=gago, julio%"
autor fernando aroso,"aut=aroso, fernando%"
autor fernando branco,"aut=branco, fernando%"
autor amadeu homem,"aut=homem, amadeu%"
autor helder carvalho,"aut=carvalho, helder%"
autor vitor jorge,"aut=jorge, vitor%"
autor a. duarte almeida,"aut=almeida, a. duarte%"
autor carol livingstone,"aut=livingstone, carol%"
autor shiona harkess,"aut=harkess, shiona%"
autor john eastwood,"aut=eastwood, john%"
autor allan sanday,"aut=sanday, allan%"
autor w. murray,"aut=murray, w.%"
autor harry wingfield,"aut=wingfield, harry%"
autor ethel wingfield,"aut=wingfield, ethel%"
autor portugal prevencao rodoviaria portuguesa,"aut=portugal. prevencao rodoviaria portuguesa%"
autor john pelham,"aut=pelham, john%"
autor conceicao cardeira,"aut=cardeira, conceicao%"
autor helena farinha,"aut=farinha, helena%"
autor a. soares,"aut=soares, a.%"
autor m. j. santos,"aut=santos, m. j.%"
autor leaderoeste,"aut=leaderoeste%"
autor henri rousseau,"aut=rousseau, henri%"
autor cornelia stabenow,"aut=stabenow cornelia%"
autor tamara de lempicka,"aut=lempicka, tamara de%"
autor august macke,"aut=macke, august%"
autor anna meseure,"aut=meseure, anna%"
autor pierre restany,"aut=restany, pierre%"
autor caspar david friedrich,"aut=friedrich, caspar david%"
autor herbert george wells,"aut=wells, herbert george%"
autor alexandre emilio,"aut=emilio, alexandre%"
autor linguagest,"aut=linguagest%"
autor ana paula da silva santos miraldo,"aut=miraldo, ana paula da silva santos%"
autor a. w. frisby,"aut=frisby, a. w.%"
autor gregorio lopes,"aut=lopes, gregorio%"
autor jose alberto seabra  carvalho,"aut=carvalho, jose alberto seabra%"
autor aurelia de souza,"aut=souza, aurelia de%"
autor raquel henriques da silva,"aut=silva, raquel henriques da%"
autor jose malhoa,"aut=malhoa, jose%"
autor paulo henriques,"aut=henriques, paulo%"
autor antonio ramalho,"aut=ramalho, antonio%"
autor alexandra reis gomes markl,"aut=markl, alexandra reis gomes%"
autor henrique pousao,"aut=pousao, henrique%"
autor luis de sttau  monteiro,"aut=monteiro, luis de sttau%"
autor jose carlos boto,"aut=boto, jose carlos%"
autor sara bicho,"aut=bicho, sara%"
autor teresa venceslau,"aut=venceslau, teresa%"
autor assembleia da republica,"aut=assembleia da republica%"
autor varios,"aut=varios%"
autor durclub,"aut=durclub%"
autor carlos porto,"aut=porto carlos%"
autor adolfo casais monteiro,"aut=monteiro adolfo casais%"
autor maria do ceu carvalho druais,"aut=druais, maria do ceu carvalho%"
autor edwige andrevereecken,"aut=andrevereecken, edwige%"
autor maria das merces,"aut=merces, maria das%"
autor vieira da silva,"aut=silva, vieira da%"
autor gisela rosenthal,"aut=rosenthal, gisela%"
autor antonio carneiro,"aut=carneiro, antonio%"
autor laura castro,"aut=castro, laura%"
autor m¦ joao matos,"aut=matos, m¦ joao%"
autor horacio santos,"aut=santos, horacio%"
autor antonio gramsci,"aut=gramsci antonio%"
autor joao ferreira duarte,"aut=duarte joao ferreira%"
autor direccao geral do ordenamento do territorio,"aut=direccao geral do ordenamento do territorio%"
autor gladstone chaves de melo,"aut=melo, gladstone chaves de%"
autor vergilio ferreira,"aut=ferreira, vergilio%"
autor benoit coppee,"aut=coppee, benoit%"
autor nicolas viot,"aut=viot, nicolas%"
autor federico mayor,"aut=mayor, federico%"
autor paula rebelo,"aut=rebelo, paula%"
autor ernesto brochado,"aut=brochado, ernesto%"
autor jorge edgard cardoso e cunha,"aut=cunha, jorge edgard cardoso e%"
autor jose rafael coelho paracana,"aut=paracana, jose rafael coelho%"
autor manuel da silva,"aut=silva, manuel da%"
autor rui castico,"aut=castico, rui%"
autor carlos ribeiro,"aut=ribeiro, carlos%"
autor svein tveitdal,"aut=tveitdal, svein%"
autor ladislaus regis ondieki,"aut=ondieki, ladislaus regis%"
autor vieira portuense,"aut=portuense, vieira%"
autor paulo varela gomes,"aut=gomes, paulo varela%"
autor aesops,"aut=aesops%"
autor chris,"aut=chris%"
autor herge,"aut=herge%"
autor basil miller,"aut=miller, basil%"
autor francis bacon,"aut=bacon, francis%"
autor luigi ficacci,"aut=ficacci, luigi%"
autor bertilia valadas,"aut=valadas, bertilia%"
autor maria joao leite,"aut=leite, maria joao%"
autor joao paiva,"aut=paiva, joao%"
autor departamento de ciencias da terra,"aut=departamento de ciencias da terra%"
autor forestis,"aut=forestis%"
autor utl aventura,"aut=utl aventura%"
autor richard dale,"aut=dale, richard%"
autor jorge castro,"aut=castro, jorge%"
autor paula couto,"aut=couto, paula%"
autor manuela bronze,"aut=bronze, manuela%"
autor maria eduarda ferreira,"aut=ferreira, maria eduarda%"
autor ana maria antao,"aut=antao, ana maria%"
autor roberto civita,"aut=civita, roberto%"
autor sylvia purwin de figueiredo falcao trigoso,"aut=trigoso, sylvia purwin de figueiredo falcao%"
autor fatima nogueira,"aut=nogueira, fatima%"
autor lucia soares,"aut=soares, lucia%"
autor eugenio fornasari,"aut=fornasari, eugenio%"
autor aquiles peduzzi,"aut=peduzzi, aquiles%"
autor r. correia,"aut=correia, r.%"
autor m. lourdes teresa cabral,"aut=cabral m. lourdes teresa%"
autor nucleo tecnico da direccao de servicos de apoio tecnico,"aut=nucleo tecnico da direccao de servicos de apoio tecnico%"
autor mario de sottomayor cardia,"aut=cardia, mario de sottomayor%"
autor carmo martins,"aut=martins, carmo%"
autor ana vicente,"aut=vicente ana%"
autor alunos da escola secundaria de severim de faria,"aut=alunos da escola secundaria de severim de faria%"
autor joao ferreira de almeida,"aut=almeida, joao ferreira de%"
autor eduardo cunha,"aut=cunha, eduardo%"
autor jose marques vidal,"aut=vidal, jose marques%"
autor margarida rebelo,"aut=rebelo, margarida%"
autor secretariado geral do parlamento europeu,"aut=secretariado geral do parlamento europeu%"
autor cristina milagre,"aut=milagre, cristina%"
autor carla vilhena,"aut=vilhena, carla%"
autor alexandre pushkin,"aut=pushkin, alexandre%"
autor antonio sardinha,"aut=sardinha, antonio%"
autor jackson pollock,"aut=pollock, jackson%"
autor marcel duchamp,"aut=duchamp, marcel%"
autor edgar p. jacobs,"aut=jacobs, edgar p.%"
autor externato de penafirme,"aut=externato de penafirme%"
autor ministerio do ambiente e do ordenamento do territorio,"aut=ministerio do ambiente e do ordenamento do territorio%"
autor embaixada da africa do sul,"aut=embaixada da africa do sul%"
autor j. w. peltason,"aut=peltason, j. w.%"
autor fatima campos,"aut=campos, fatima%"
autor eunice cabral,"aut=cabral, eunice%"
autor helder bernardo,"aut=bernardo, helder%"
autor george grosz,"aut=grosz, george%"
autor ivo kranzfelder,"aut=kranzfelder, ivo%"
autor obra colectiva,"aut=obra colectiva%"
autor louisa may alcoot,"aut=alcoot, louisa may%"
autor david o. selznick,"aut=selznick, david o.%"
autor margaret mitchell,"aut=mitchell, margaret%"
autor hara alexandrino,"aut=alexandrino, hara%"
autor humberto rodrigues,"aut=rodrigues, humberto%"
autor leonel alexandrino,"aut=alexandrino, leonel%"
autor julie sergeant,"aut=sergeant, julie%"
autor armando carvalheda,"aut=carvalheda, armando%"
autor manuel gomes,"aut=gomes, manuel%"
autor universidade nova de lisboa,"aut=universidade nova de lisboa%"
autor james m. barrie,"aut=barrie, james m.%"
autor caio de carvalho,"aut=carvalho, caio de%"
autor nivaldo nottoli,"aut=nottoli, nivaldo%"
autor alberto merlati,"aut=merlati, alberto%"
autor rossella sobrero,"aut=sobrero, rossella%"
autor filipe benjamin dos santos,"aut=santos, filipe benjamin dos%"
autor enzo barone,"aut=barone, enzo%"
autor jason kidd,"aut=kidd, jason%"
autor luisa alvarenga,"aut=alvarenga, luisa%"
autor maria manuela silva,"aut=silva, maria manuela%"
autor pedro alegria,"aut=alegria, pedro%"
autor nuno miguel henriques,"aut=henriques, nuno miguel%"
autor isabel lemos,"aut=lemos , isabel%"
autor maria odete vargas,"aut=vargas, maria odete%"
autor ilda seabra moura,"aut=moura, ilda seabra%"
autor madalena goncalves,"aut=goncalves, madalena%"
autor david scutt,"aut=scutt, david%"
autor prof. doutor carlos reis,"aut=reis, prof. doutor carlos%"
autor jose machado,"aut=machado, jose%"
autor mario morais,"aut=morais, mario%"
autor fatima liborio,"aut=liborio, fatima%"
autor disneys,"aut=disneys%"
autor davidson,"aut=davidson%"
autor teresa matos,"aut=matos, teresa%"
autor christine varniere,"aut=varniere, christine%"
autor alberto sergio s. r. miguel,"aut=miguel, alberto sergio s. r.%"
autor fatima braga,"aut=braga, fatima%"
autor floripes maria goncalves vilasboas,"aut=vilasboas, floripes maria goncalves%"
autor maria ema monteiro alves,"aut=alves, maria ema monteiro%"
autor maria joao vieira de freitas,"aut=freitas, maria joao vieira de%"
autor yvette k. centeno,"aut=centeno, yvette k.%"
autor isabel allegro de magalhaes,"aut=magalhaes, isabel allegro de%"
autor joao jose pereira da silva duarte,"aut=duarte, joao jose pereira da silva%"
autor maria helena nazare,"aut=nazare, maria helena%"
autor universidade de aveiro,"aut=universidade de aveiro%"
autor jon avnet,"aut=avnet, jon%"
autor red corner,"aut=corner, red%"
autor don simpson,"aut=simpson, don%"
autor jerry bruckheimer,"aut=bruckheimer, jerry%"
autor michael catonjones,"aut=catonjones, michael%"
autor fred schepisi,"aut=schepisi, fred%"
autor mace neufeld,"aut=neufeld, mace%"
autor robert rehme,"aut=rehme, robert%"
autor arne glimcher,"aut=glimcher, arne%"
autor robert redford,"aut=redford, robert%"
autor sydney pollack,"aut=pollack, sydney%"
autor roman polanski,"aut=polanski, roman%"
autor richard brooks,"aut=brooks, richard%"
autor alfred hitchcock,"aut=hitchcock, alfred%"
autor richard donner,"aut=donner, richard%"
autor howard pyle,"aut=pyle, howard%"
autor civilizacao editora,"aut=civilizacao editora%"
autor ana valentim,"aut=valentim, ana%"
autor mateus valadier,"aut=valadier, mateus%"
autor heila janse van rensburg,"aut=rensburg, heila janse van%"
autor eduardo rincon,"aut=rincon, eduardo%"
autor ana paula miraldo,"aut=miraldo, ana paula%"
autor joana sousa monteiro,"aut=monteiro, joana sousa%"
autor claudia figueiredo,"aut=figueiredo, claudia%"
autor bertrand pecquerie,"aut=pecquerie, bertrand%"
autor edmundo de amicis,"aut=amicis, edmundo de%"
autor james tyreell,"aut=tyreell, james%"
autor maria joao goucha,"aut=goucha, maria joao%"
autor goncalo pinto,"aut=pinto, goncalo%"
autor harriet beecher stowe,"aut=stowe, harriet beecher%"
autor darrell warner,"aut=warner, darrell%"
autor pedro salvador mendes,"aut=mendes, pedro salvador%"
autor paul fisher johnson,"aut=johnson, paul fisher%"
autor richard musman,"aut=musman, richard%"
autor virginia smith,"aut=smith, virginia%"
autor sumiko,"aut=sumiko%"
autor donn byrne,"aut=byrne, donn%"
autor d. g. grant,"aut=grant, d. g.%"
autor l. g. alexander,"aut=alexander, l. g.%"
autor susan stempleski,"aut=stempleski, susan%"
autor mustafa delioglu,"aut=delioglu, mustafa%"
autor stephen  rabley,"aut=rabley, stephen%"
autor inga moore,"aut=moore, inga%"
autor sally davies,"aut=davies, sally%"
autor pat foggarty,"aut=foggarty, pat%"
autor micheal mccabe,"aut=mccabe, micheal%"
autor patrick tolfree,"aut=tolfree, patrick%"
autor david hill,"aut=hill, david%"
autor clifford meadway,"aut=meadway, clifford%"
autor steve livesey,"aut=livesey, steve%"
autor ken cox,"aut=cox, ken%"
autor hans andersens,"aut=andersens, hans%"
autor philip gough,"aut=gough, philip%"
autor chris ryley,"aut=ryley, chris%"
autor k. j. fielding,"aut=fielding, k. j.%"
autor b. m. parker,"aut=parker, b. m.%"
autor joanna troughton,"aut=troughton, joanna%"
autor alwyn cox,"aut=cox, alwyn%"
autor teresa saramago,"aut=saramago, teresa%"
autor alexandra pires vieira,"aut=vieira, alexandra pires%"
autor ana maria  magalhaes,"aut=magalhaes, ana maria%"
autor dulce bouca,"aut=bouca, dulce%"
autor eduardo alegria  ezquerra,"aut=ezquerra, eduardo alegria%"
autor mario ramos,"aut=ramos, mario%"
autor jesus trujillo sevilla,"aut=sevilla, jesus trujillo%"
autor eugenia camon caballero,"aut=caballero, eugenia camon%"
autor paradigma,"aut=paradigma%"
autor elsa patricio de barros,"aut=barros, elsa patricio de%"
autor gilda pimenta,"aut=pimenta, gilda%"
autor t.g. rosenthal,"aut=rosenthal, t.g.%"
autor rosario farmhouse,"aut=farmhouse, rosario%"
autor antonio houaiss,"aut=houaiss, antonio%"
autor mauro de salles villa,"aut=villa, mauro de salles%"
autor dino carpanetto,"aut=carpanetto, dino%"
autor joao quina,"aut=quina , joao%"
autor don taylor,"aut=taylor, don%"
autor yves langlois,"aut=langlois, yves%"
autor nikolai korsakov,"aut=korsakov, nikolai%"
autor felix mendelssohn,"aut=mendelssohn, felix%"
autor francisco augusto correia barata,"aut=barata, francisco augusto correia%"
autor pedro vidoeira,"aut=vidoeira, pedro%"
autor ludwig beethoven,"aut=beethoven, ludwig%"
autor franz schubert,"aut=schubert, franz%"
autor hector berlioz,"aut=berlioz, hector%"
autor wolfgang mozart,"aut=mozart, wolfgang%"
autor univercidade tecnica de lisboa,"aut=univercidade tecnica de lisboa%"
autor hercilio lourenzi,"aut=lourenzi, hercilio%"
autor jorge lopes,"aut=lopes, jorge%"
autor elsa vieira,"aut=vieira elsa%"
autor ariana  cosme,"aut=cosme, ariana%"
autor rui pedro juliao,"aut=juliao, rui pedro%"
autor jose norberto fernandes,"aut=fernandes, jose norberto%"
autor n. voinova,"aut=voinova, n.%"
autor s. starets,"aut=starets, s.%"
autor v. verkhucha,"aut=verkhucha, v.%"
autor a. zditovetski,"aut=zditovetski, a.%"
autor 0 grimm,"aut=grimm 0%"
autor ariana cosme,"aut=cosme, ariana%"
autor a. m. da cunha sa,"aut=sa, a. m. da cunha%"
autor stan smith,"aut=smith, stan%"
autor kathleen omalley,"aut=omalley, kathleen%"
autor adao iturrusgarai,"aut=iturrusgarai, adao%"
autor alvaro pereira,"aut=pereira alvaro%"
autor luis santos,"aut=santos luis%"
autor nuno vieira faustino,"aut=faustino, nuno vieira%"
autor rogerio pires,"aut=pires, rogerio%"
autor j. freitas e silva,"aut=silva, j. freitas e%"
autor jeanbenoit durand,"aut=durand, jeanbenoit%"
autor therese bonte,"aut=bonte, therese%"
autor roser cabaces,"aut=cabaces, roser%"
autor elisabet vilaplana,"aut=vilaplana, elisabet%"
autor anna clariana,"aut=clariana, anna%"
autor jaime gralheiro,"aut=gralheiro, jaime%"
autor jose manuel mendes,"aut=mendes jose manuel%"
autor florbela espanca,"aut=espanca florbela%"
autor pedro alvim,"aut=alvim pedro%"
autor jose carlos ary dos santos,"aut=santos jose carlos ary dos%"
autor giulia lanciani,"aut=lanciani giulia%"
autor bartolomeu dos santos,"aut=santos, bartolomeu dos%"
autor janine teisson,"aut=teisson, janine%"
autor manuela antunes,"aut=antunes, manuela%"
autor fernando pacheco,"aut=pacheco, fernando%"
autor catherine rouxlanier,"aut=rouxlanier, catherine%"
autor daniel pimbe,"aut=pimbe, daniel%"
autor frank lanot,"aut=lanot, frank%"
autor andre ropert,"aut=ropert, andre%"
autor gabinete grafico platano,"aut=gabinete grafico platano%"
autor jo soares,"aut=soares, jo%"
autor karen mccombie,"aut=mccombie, karen%"
autor francesc navarro,"aut=navarro, francesc%"
autor isabel cucurella,"aut=cucurella, isabel%"
autor  mia,"aut=mia%"
autor carlos pereira,"aut=pereira, carlos%"
autor margarida marques silva,"aut=silva, margarida marques%"
autor sophia de mello breyner andersen,"aut=andersen, sophia de mello breyner%"
autor soeiro gomes,"aut=gomes, soeiro%"
autor alfredo caldeira,"aut=caldeira, alfredo%"
autor alberto bemfeita,"aut=bemfeita, alberto%"
autor adelto goncalves,"aut=goncalves, adelto%"
autor y. k. centeno,"aut=centeno, y. k.%"
autor carlos sousa de almeida,"aut=almeida, carlos sousa de%"
autor manuel valls,"aut=valls, manuel%"
autor m. a. lopes,"aut=lopes, m. a.%"
autor m. f. campos,"aut=campos, m. f.%"
autor pere virgili,"aut=virgili, pere%"
autor jose craveirinha,"aut=craveirinha, jose%"
autor basil ribeiro,"aut=ribeiro, basil%"
autor maria teresa dias furtado,"aut=furtado, maria teresa dias%"
autor jose luandino vieira,"aut=vieira, jose luandino%"
autor joao marques,"aut=marques, joao%"
autor viscondes de castilho e de azevedo,"aut=viscondes de castilho e de azevedo%"
autor coco valero,"aut=valero, coco%"
autor joao afonso dos santos,"aut=santos, joao afonso dos%"
autor fernando vale,"aut=vale, fernando%"
autor pepetela,"aut=pepetela%"
autor henrique de macedo,"aut=macedo, henrique de%"
autor eva m. lalanne,"aut=lalanne, eva m.%"
autor luis tomas melgar,"aut=melgar, luis tomas%"
autor ana demey monteiro,"aut=monteiro, ana demey%"
autor david mccarthy,"aut=mccarthy, david%"
autor ana paula tanque,"aut=tanque, ana paula%"
autor a. campos matos,"aut=matos, a. campos%"
autor katherine vaz,"aut=vaz, katherine%"
autor danuta rosa wojciechowska,"aut=wojciechowska, danuta rosa%"
autor joaquim de sousa,"aut=sousa, joaquim de%"
autor sally wehmeier,"aut=wehmeier, sally%"
autor jennifer bradbery,"aut=bradbery, jennifer%"
autor sandy jervis,"aut=jervis, sandy%"
autor maria carling,"aut=carling, maria%"
autor rod smith,"aut=smith, rod%"
autor will fowler,"aut=fowler, will%"
autor v. almeida deca,"aut=deca, v. almeida%"
autor ignacio medina,"aut=medina, ignacio%"
autor comunidades escolares em portugal,"aut=comunidades escolares em portugal%"
autor bruno sourd,"aut=sourd, bruno%"
autor jose duarte,"aut=duarte, jose%"
autor direccao geral de saude e consumidores da comissao europeia,"aut=direccao geral de saude e consumidores da comissao europeia%"
autor miguel cuna,"aut=cuna, miguel%"
autor pnuma,"aut=pnuma%"
autor mariano cyrillo de carvalho,"aut=carvalho, mariano cyrillo de%"
autor isabel raposo,"aut=raposo, isabel%"
autor antonieta castro,"aut=castro, antonieta%"
autor francesc aragall,"aut=aragall, francesc%"
autor stella pamplona chaves,"aut=chaves, stella pamplona%"
autor nucleo de estagio de ciencias fisicoquimicas,"aut=nucleo de estagio de ciencias fisicoquimicas%"
autor joao bernardo,"aut=bernardo, joao%"
autor elisabete franca,"aut=franca, elisabete%"
autor mariano cirilo de carvalho,"aut=carvalho, mariano cirilo de%"
autor fatima costa,"aut=costa, fatima%"
autor henrique vanez,"aut=vanez, henrique%"
autor bruna santos,"aut=santos, bruna%"
autor rui pires,"aut=pires, rui%"
autor mario caeiro,"aut=caeiro, mario%"
autor ines morais viegas,"aut=viegas, ines morais%"
autor luisa costa dias,"aut=dias, luisa costa%"
autor margarida dias,"aut=dias, margarida%"
autor alzira fernandes,"aut=fernandes, alzira%"
autor claudia santos,"aut=santos, claudia%"
autor manuel andrade,"aut=andrade, manuel%"
autor rute marques,"aut=marques, rute%"
autor agostinha gomes,"aut=gomes, agostinha%"
autor amelia martins,"aut=martins, amelia%"
autor florinda cruz,"aut=cruz, florinda%"
autor isabel jesus,"aut=jesus, isabel%"
autor m¦ augusta arrais,"aut=arrais, m¦ augusta%"
autor m¦ salome soudo,"aut=soudo, m¦ salome%"
autor paula henriques,"aut=henriques, paula%"
autor vitor ascencao,"aut=ascencao, vitor%"
autor frank miller,"aut=miller, frank%"
autor john cassaday,"aut=cassaday, john%"
autor comissao para a pessoa com deficiencia do concelho de cascais,"aut=comissao para a pessoa com deficiencia do concelho de cascais%"
autor humbertina maia,"aut=maia, humbertina%"
autor marcia vasques,"aut=vasques, marcia%"
autor jovita vieira,"aut=vieira, jovita%"
autor fatima reto,"aut=reto, fatima%"
autor vitor lourenco,"aut=lourenco, vitor%"
autor the european concept por accessibility,"aut=the european concept por accessibility%"
autor olinda roldao,"aut=roldao, olinda%"
autor sandra ramos,"aut=ramos, sandra%"
autor vera baiao,"aut=baiao, vera%"
autor vera gaia,"aut=gaia, vera%"
autor eduarda afonso,"aut=afonso, eduarda%"
autor vera m. lucena gaia,"aut=gaia, vera m. lucena%"
autor maria braganca,"aut=braganca, maria%"
autor associacao portuguesa dos tecnicos de audiologia,"aut=associacao portuguesa dos tecnicos de audiologia%"
autor dr. e. pupulin,"aut=pupulin, dr. e.%"
autor teresa montano,"aut=montano, teresa%"
autor jorge ferreira,"aut=ferreira, jorge%"
autor miguel oliveira,"aut=oliveira, miguel%"
autor appacdm,"aut=appacdm%"
autor maria cristina petrucci albuquerque,"aut=albuquerque, maria cristina petrucci%"
autor maria eduarda pereira dias,"aut=dias, maria eduarda pereira%"
autor maria de lurdes pereira ramos,"aut=ramos, maria de lurdes pereira%"
autor maria carlota themudo r. ferreira,"aut=ferreira, maria carlota themudo r.%"
autor maria margarida nunes da ponte,"aut=ponte, maria margarida nunes da%"
autor joe casey,"aut=casey, joe%"
autor cully hamner,"aut=hamner, cully%"
autor ed brubaker,"aut=brubaker, ed%"
autor doug mahnke,"aut=mahnke, doug%"
autor carlos pacheco,"aut=pacheco, carlos%"
autor jesus merino,"aut=merino, jesus%"
autor fernando ferreira,"aut=ferreira, fernando%"
autor vao arquitectos associados,"aut=vao arquitectos associados%"
autor associacao de municipios,"aut=associacao de municipios%"
autor robert rodi,"aut=rodi, robert%"
autor sean chen,"aut=chen, sean%"
autor will conrad,"aut=conrad, will%"
autor haden blackman,"aut=blackman, haden%"
autor brian ching,"aut=ching, brian%"
autor miles lane,"aut=lane, miles%"
autor doug weatley,"aut=weatley, doug%"
autor s. m,"aut=m, s.%"
autor alvaro moreira,"aut=moreira, alvaro%"
autor warren ellis,"aut=ellis, warren%"
autor chris claremont,"aut=claremont, chris%"
autor leinil francis yu,"aut=yu, leinil francis%"
autor gianluigi bonelli,"aut=bonelli, gianluigi%"
autor aurelio galleppini,"aut=galleppini, aurelio%"
autor ana neto ferreira,"aut=ferreira, ana neto%"
autor joana paiva alves,"aut=alves, joana paiva%"
autor joao quina,"aut=quina joao%"
autor john buscema,"aut=buscema, john%"
autor cedric o. carter,"aut=carter, cedric o.%"
autor a. cruz,"aut=cruz, a.%"
autor andrepaul duchateau,"aut=duchateau, andrepaul%"
autor  tibet,"aut=tibet%"
autor j. michael staczynski,"aut=staczynski, j. michael%"
autor john romita jr.,"aut=jr., john romita%"
autor jeph loeb,"aut=loeb, jeph%"
autor ed mcguinness,"aut=mcguinness, ed%"
autor maria manuela santos,"aut=santos, maria manuela%"
autor oxford,"aut=oxford%"
autor jean graton,"aut=graton, jean%"
autor horn abbot internacional limited,"aut=horn abbot internacional limited.%"
autor jose fernandes,"aut=fernandes, jose%"
autor bruce jones,"aut=jones, bruce%"
autor jae lee,"aut=lee, jae%"
autor brian azzarello,"aut=azzarello, brian%"
autor richard corben,"aut=corben, richard%"
autor maria do ceu lopes,"aut=lopes, maria do ceu%"
autor mattel,"aut=mattel%"
autor eugene hecht,"aut=hecht eugene%"
autor jose manuel n. v. rebordao,"aut=rebordao jose manuel n. v.%"
autor maria emilia santos,"aut=santos, maria emilia%"
autor isabel menezes,"aut=menezes, isabel%"
autor maria rosa afonso,"aut=afonso, maria rosa%"
autor joana giao,"aut=giao, joana%"
autor j. m. carvalho oliveira,"aut=oliveira, j. m. carvalho%"
autor j. cymbron,"aut=cymbron, j.%"
autor carlos olavo,"aut=olavo, carlos%"
autor tomas venclova,"aut=venclova, tomas%"
autor gastao elis,"aut=elis, gastao%"
autor lorena berdun,"aut=berdun, lorena%"
autor liliana lopes,"aut=lopes, liliana%"
autor audra kairiene,"aut=kairiene, audra%"
autor jeanluc chavent,"aut=chavent, jeanluc%"
autor charles hadley,"aut=hadley, charles%"
autor yves neyrolles,"aut=neyrolles, yves%"
autor rui lacas,"aut=lacas, rui%"
autor direccao servicos de desenvolvimento florestal,"aut=direccao servicos de desenvolvimento florestal%"
autor julian holland,"aut=holland, julian%"
autor norman brooke,"aut=brooke, norman%"
autor o. v. dimitriev,"aut=dimitriev, o. v.%"
autor g. v. stepenko,"aut=stepenko, g. v.%"
autor maria rita valenteperfeito,"aut=valenteperfeito, maria rita%"
autor aldo silva,"aut=silva, aldo%"
autor joao goncalves,"aut=goncalves, joao%"
autor renata gomes,"aut=gomes, renata%"
autor joao de barros,"aut=barros joao de%"
autor martins barata,"aut=barata martins%"
autor carlos garcia gual,"aut=gual, carlos garcia%"
autor anselmo borges,"aut=borges, anselmo%"
autor jose ferreira,"aut=ferreira, jose%"
autor leonel rosa,"aut=rosa, leonel%"
autor salvador matos,"aut=matos, salvador%"
autor maria joao freire andrade,"aut=andrade, maria joao freire%"
autor jim sukach,"aut=sukach, jim%"
autor lucy corvino,"aut=corvino, lucy%"
autor maria joao  andrade,"aut=andrade, maria joao%"
autor elsa conde,"aut=conde elsa%"
autor kate dicamillo,"aut=dicamillo, kate%"
autor maria seixas,"aut=seixas, maria%"
autor joao barros,"aut=barros, joao%"
autor richard trewinnard,"aut=trewinnard, richard%"
autor bela franchini,"aut=franchini, bela%"
autor silvia pinhao,"aut=pinhao, silvia%"
autor fatima santos,"aut=santos, fatima%"
autor isabel allegro magalhaes,"aut=magalhaes, isabel allegro%"
autor s. mccormick,"aut=mccormick, s.%"
autor mike benton,"aut=benton, mike%"
autor marie christine lemayeur,"aut=lemayeur, marie christine%"
autor carlos preira,"aut=preira, carlos%"
autor margarida marques da silva,"aut=silva, margarida marques da%"
autor mario cachao,"aut=cachao, mario%"
autor maria luisa bozzi,"aut=bozzi, maria luisa%"
autor paola d agostino,"aut=d agostino, paola%"
autor leonardo messchini,"aut=messchini, leonardo%"
autor john malam,"aut=malam, john%"
autor  pixelshack,"aut=pixelshack%"
autor luisa taveira,"aut=taveira, luisa%"
autor john hughes,"aut=hughes, john%"
autor russell gooday,"aut=gooday, russell%"
autor andrew kerr,"aut=kerr, andrew%"
autor carolina oliveira,"aut=oliveira, carolina%"
autor harry kane,"aut=kane, harry%"
